SGPR25_COD_DISTRI_PK,SGPR25_CODI_CAN,SGPR25_NOMBRE
1911,349,Palmar
1912,349,Sierpe
1913,349,Bahía Ballena
1914,349,Piedras Blancas
1915,350,Guácimo
1916,350,Mercedes
1917,350,Pocora
1918,350,Río Jiménez
1919,350,Duacari
1920,351,Limón
1921,351,Valle La Estrella
1922,351,Río Blanco
1923,351,Matama
1924,352,Matina
1925,352,Batán
1926,352,Carrandi
1927,353,Guápiles
1928,353,Jiménez
1929,353,Rita
1930,353,Roxana
1931,353,Cariari
1932,353,Colorado
1933,354,Siquirres
1934,354,Pacuarito
1935,354,Florida
1936,354,Germania
1937,354,Cairo
1938,354,Alegría
1939,355,Bratsi
1940,355,Sixaola
1941,355,Cahuita
1942,355,Telire
1667,305,Tigra
1668,305,Palmera
1608,296,Palmira
1609,296,Zapote
1633,300,El Amparo
1634,300,San Jorge
1710,311,Corralillo
1711,311,Tierra Blanca
1499,279,Rosario
1489,278,Sánchez
1673,306,San Mateo
1606,296,Tapezco
1607,296,Guadalupe
1694,308,Dos Ríos
1695,308,Yolillal
1528,285,Guayabo
1529,285,Tabarcia
1519,283,Llano Bonito
1603,295,Sarapiquí
